seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	57109746	57109754	9	*	X0096	5563	57110990	57181008	70019	+	1235	upstream	1235	PRKAA2
chr1	77747340	77747348	9	*	X0129	26289	77747662	78025654	277993	+	313	upstream	313	AK5
chr1	112532828	112532842	15	*	X0167	3752	112318454	112531777	213324	-	1050	upstream	1050	KCND3
chr1	112532828	112532842	15	*	X0167	643355	112533190	112541463	8274	+	347	upstream	347	LINC01750
chr1	112532845	112532853	9	*	X0168	3752	112318454	112531777	213324	-	1067	upstream	1067	KCND3
chr1	112532845	112532853	9	*	X0168	643355	112533190	112541463	8274	+	336	upstream	336	LINC01750
chr1	112532862	112532871	10	*	X0169	3752	112318454	112531777	213324	-	1084	upstream	1084	KCND3
chr1	112532862	112532871	10	*	X0169	643355	112533190	112541463	8274	+	318	upstream	318	LINC01750
chr1	112532978	112532986	9	*	X0170	3752	112318454	112531777	213324	-	1200	upstream	1200	KCND3
chr1	112532978	112532986	9	*	X0170	643355	112533190	112541463	8274	+	203	upstream	203	LINC01750
chr1	112533126	112533139	14	*	X0171	3752	112318454	112531777	213324	-	1348	upstream	1348	KCND3
chr1	112533126	112533139	14	*	X0171	643355	112533190	112541463	8274	+	50	upstream	50	LINC01750
chr1	116383713	116383721	9	*	X0174	4808	116378999	116383747	4749	-	0	inside	25	NHLH2
chr1	116385262	116385271	10	*	X0175	4808	116378999	116383747	4749	-	1514	upstream	1514	NHLH2
chr1	116385684	116385694	11	*	X0176	4808	116378999	116383747	4749	-	1936	upstream	1936	NHLH2
chr1	153651295	153651307	13	*	X0204	4881	153651164	153666468	15305	+	0	inside	130	NPR1
chr1	156830262	156830270	9	*	X0206	3645	156810665	156828712	18048	-	1549	upstream	1549	INSRR
chr1	166944275	166944289	15	*	X0220	387597	166882441	166944561	62121	-	0	inside	271	ILDR2
chr1	166944275	166944289	15	*	X0220	84944	166944819	166991447	46629	+	529	upstream	529	MAEL
chr1	166944304	166944312	9	*	X0221	387597	166882441	166944561	62121	-	0	inside	248	ILDR2
chr1	166944304	166944312	9	*	X0221	84944	166944819	166991447	46629	+	506	upstream	506	MAEL
chr1	170254239	170254250	12	*	X0234	284688	170240546	170253349	12804	-	889	upstream	889	LINC01142
chr1	170632982	170632990	9	*	X0237	5396	170633313	170708541	75229	+	322	upstream	322	PRRX1
chr1	173178393	173178401	9	*	X0268	7292	173152870	173176471	23602	-	1921	upstream	1921	TNFSF4
chr1	177139531	177139537	7	*	X0302	57795	177140633	177251558	110926	+	1095	upstream	1095	BRINP2
chr1	180197614	180197623	10	*	X0306	89884	180199433	180244188	44756	+	1809	upstream	1809	LHX4
chr1	180198349	180198357	9	*	X0307	89884	180199433	180244188	44756	+	1075	upstream	1075	LHX4
chr1	182757079	182757095	17	*	X0317	80896	182758584	182799519	40936	+	1488	upstream	1488	NPL
chr1	184944019	184944028	10	*	X0320	116496	184760159	184943718	183560	-	300	upstream	300	NIBAN1
chr1	184944031	184944041	11	*	X0321	116496	184760159	184943718	183560	-	312	upstream	312	NIBAN1
chr1	186650878	186650886	9	*	X0323	5743	186640944	186649559	8616	-	1318	upstream	1318	PTGS2
chr1	192605253	192605261	9	*	X0336	6003	192605268	192629440	24173	+	6	upstream	6	RGS13
chr1	196946909	196946918	10	*	X0348	81494	196946667	196978803	32137	+	0	inside	241	CFHR5
chr1	203096683	203096691	9	*	X0371	134	203096836	203136533	39698	+	144	upstream	144	ADORA1
chr1	204654973	204654983	11	*	X0378	10446	204586303	204654597	68295	-	375	upstream	375	LRRN2
chr1	207627628	207627636	9	*	X0398	1380	207627645	207663240	35596	+	8	upstream	8	CR2
chr1	212874386	212874394	9	*	X0415	55509	212859759	212873327	13569	-	1058	upstream	1058	BATF3
chr1	214159551	214159561	11	*	X0419	5629	214161278	214214847	53570	+	1716	upstream	1716	PROX1
chr1	214159853	214159869	17	*	X0420	5629	214161278	214214847	53570	+	1408	upstream	1408	PROX1
chr1	245318116	245318128	13	*	X0546	55083	245318287	245866428	548142	+	158	upstream	158	KIF26B
chr1	247615910	247615920	11	*	X0547	127623	247614331	247615284	954	-	625	upstream	625	OR2B11
chr2	2335483	2335517	35	*	X0572	23040	1792885	2335045	542161	-	437	upstream	437	MYT1L
chr2	2335565	2335575	11	*	X0573	23040	1792885	2335045	542161	-	519	upstream	519	MYT1L
chr2	2336040	2336054	15	*	X0574	23040	1792885	2335045	542161	-	994	upstream	994	MYT1L
chr2	2336056	2336076	21	*	X0575	23040	1792885	2335045	542161	-	1010	upstream	1010	MYT1L
chr2	2336079	2336089	11	*	X0576	23040	1792885	2335045	542161	-	1033	upstream	1033	MYT1L
chr2	2337019	2337045	27	*	X0577	23040	1792885	2335045	542161	-	1973	upstream	1973	MYT1L
chr2	4704499	4704528	30	*	X0610	727982	4675808	4703812	28005	-	686	upstream	686	LINC01249
chr2	30453609	30453617	9	*	X0700	81606	30454397	30482899	28503	+	779	upstream	779	LBH
chr2	30454164	30454177	14	*	X0701	81606	30454397	30482899	28503	+	219	upstream	219	LBH
chr2	60782226	60782251	26	*	X0751	53335	60678302	60780633	102332	-	1592	upstream	1592	BCL11A
chr2	72376360	72376374	15	*	X0786	56603	72356367	72374991	18625	-	1368	upstream	1368	CYP26B1
chr2	72376378	72376393	16	*	X0787	56603	72356367	72374991	18625	-	1386	upstream	1386	CYP26B1
chr2	72376395	72376414	20	*	X0788	56603	72356367	72374991	18625	-	1403	upstream	1403	CYP26B1
chr2	72376416	72376424	9	*	X0789	56603	72356367	72374991	18625	-	1424	upstream	1424	CYP26B1
chr2	72376429	72376437	9	*	X0790	56603	72356367	72374991	18625	-	1437	upstream	1437	CYP26B1
chr2	86566210	86566223	14	*	X0806	65055	86441120	86565206	124087	-	1003	upstream	1003	REEP1
chr2	105468223	105468235	13	*	X0838	100506421	105421883	105467934	46052	-	288	upstream	288	PANTR1
chr2	105469036	105469052	17	*	X0839	100506421	105421883	105467934	46052	-	1101	upstream	1101	PANTR1
chr2	105469424	105469460	37	*	X0840	100506421	105421883	105467934	46052	-	1489	upstream	1489	PANTR1
chr2	105469655	105469663	9	*	X0841	100506421	105421883	105467934	46052	-	1720	upstream	1720	PANTR1
chr2	105469772	105469780	9	*	X0842	100506421	105421883	105467934	46052	-	1837	upstream	1837	PANTR1
chr2	131513141	131513149	9	*	X0897	205147	131513077	131525707	12631	+	0	inside	63	AMER3
chr2	136877001	136877009	9	*	X0901	7852	136871919	136875725	3807	-	1275	upstream	1275	CXCR4
chr2	145276453	145276463	11	*	X0926	100303491	145277181	145278465	1285	+	717	upstream	717	ZEB2-AS1
chr2	152955975	152955989	15	*	X0937	785	152689286	152955593	266308	-	381	upstream	381	CACNB4
chr2	152957413	152957422	10	*	X0938	785	152689286	152955593	266308	-	1819	upstream	1819	CACNB4
chr2	164593714	164593724	11	*	X0943	55137	164464118	164592513	128396	-	1200	upstream	1200	FIGN
chr2	167232730	167232740	11	*	X0955	6335	167051697	167232497	180801	-	232	upstream	232	SCN9A
chr2	167232746	167232762	17	*	X0956	6335	167051697	167232497	180801	-	248	upstream	248	SCN9A
chr2	167233362	167233374	13	*	X0957	6335	167051697	167232497	180801	-	864	upstream	864	SCN9A
chr2	170218877	170218885	9	*	X0963	4036	169983619	170219122	235504	-	0	inside	236	LRP2
chr2	170219224	170219234	11	*	X0964	4036	169983619	170219122	235504	-	101	upstream	101	LRP2
chr2	170219258	170219268	11	*	X0965	4036	169983619	170219122	235504	-	135	upstream	135	LRP2
chr2	170219271	170219280	10	*	X0966	4036	169983619	170219122	235504	-	148	upstream	148	LRP2
chr2	170219347	170219361	15	*	X0967	4036	169983619	170219122	235504	-	224	upstream	224	LRP2
chr2	170219430	170219439	10	*	X0968	4036	169983619	170219122	235504	-	307	upstream	307	LRP2
chr2	170219456	170219471	16	*	X0969	4036	169983619	170219122	235504	-	333	upstream	333	LRP2
chr2	173290870	173290878	9	*	X0973	3655	173292082	173371181	79100	+	1203	upstream	1203	ITGA6
chr2	180726384	180726395	12	*	X0986	100302172	180725563	180725635	73	-	748	upstream	748	MIR1258
chr2	180726384	180726395	12	*	X0986	151126	180306711	180726232	419522	-	151	upstream	151	ZNF385B
chr2	206546777	206546785	9	*	X0996	8828	206547224	206662857	115634	+	438	upstream	438	NRP2
chr2	217238267	217238294	28	*	X1007	57574	217122585	217236750	114166	-	1516	upstream	1516	MARCHF4
chr2	219723794	219723803	10	*	X1008	7475	219724546	219738954	14409	+	742	upstream	742	WNT6
chr2	219867525	219867534	10	*	X1009	494324	219866367	219866430	64	-	1094	upstream	1094	MIR375
chr3	3152804	3152812	9	*	X1067	3568	3108008	3152058	44051	-	745	upstream	745	IL5RA
